Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
Chair,vehicles,item,EnChanged,Wooden Chair, Chaise En Bois,,,,
Chair,vehicles,vehicle,EnChanged,Wooden Chair,Chaise En Bois,,,,
Chair2,vehicles,item,EnChanged,Black Wooden Chair,Chaise Noir En Bois,,,,
Chair2,vehicles,vehicle,EnChanged,Black Wooden Chair,Chaise Noir En Bois,,,,
Chair3,vehicles,item,EnChanged,Wool Chair,Chaise En Laine,,,,
Chair3,vehicles,vehicle,EnChanged,Wool Chair,Chaise En Laine,,,,
Chair4,vehicles,item,EnChanged,Lounge Chair,Chaise de Salon,,,,
Chair4,vehicles,vehicle,EnChanged,Lounge Chair,Chaise de Salon,,,,
Chair5,vehicles,item,EnChanged,Western Chair,Chaise de Western,,,,
Chair5,vehicles,vehicle,EnChanged,Western Chair,Chaise de Western,,,,
Pouf,vehicles,item,EnChanged,Pouf,Pouf,,,,
Pouf,vehicles,vehicle,EnChanged,Pouf,Pouf,,,,
Shower,vehicles,item,EnChanged,Shower,Douche,,,,
Shower,vehicles,vehicle,EnChanged,Shower,Douche,,,,
PC,vehicles,item,EnChanged,PC,PC,,,,
PC,vehicles,vehicle,EnChanged,PC,PC,,,,
Food Table,vehicles,item,EnChanged,Food Table,Table à bouffe,,,,
Food Table,vehicles,vehicle,EnChanged,Food Table,Table à bouffe,,,,
Bath,vehicles,item,EnChanged,Bath,Bain,,,,
Bath,vehicles,vehicle,EnChanged,Bath,Bain,,,,
Jacuzzi,vehicles,item,EnChanged,Jacuzzi,Jacuzzi,,,,
Jacuzzi,vehicles,vehicle,EnChanged,Jacuzzi,Jacuzzi,,,,
Toilet,vehicles,item,EnChanged,Toilet,Toilettes,,,,
Toilet,vehicles,vehicle,EnChanged,Toilet,Toilettes,,,,
Superior Couch,vehicles,item,EnChanged,Superior Couch,Canapé,,,,
Superior Couch,vehicles,vehicle,EnChanged,Superior Couch,Canapé,,,,
Piano,vehicles,item,EnChanged,Piano,Piano,,,,
Piano,vehicles,vehicle,EnChanged,Piano,Piano,,,,
Bed,vehicles,item,EnChanged,Bed,Lit,,,,
Bed,vehicles,vehicle,EnChanged,Bed,Lit,,,,
Hammock,vehicles,item,EnChanged,Hammock,Hamac,,,,
Hammock,vehicles,vehicle,EnChanged,Hammock,Hamac,,,,
Recliner Chair,vehicles,item,EnChanged,Recliner Chair,Chaise inclinable,,,,
Recliner Chair,vehicles,vehicle,EnChanged,Recliner Chair,Chaise inclinable,,,,
Bed Structure,blocks,Block,KeyChanged EnChanged,Bed Structure,Structure de lit,,,,
Bed Structure ,blocks,Block,KeyChanged EnChanged,Bed Structure,Structure de lit,,,,
Trone,vehicles,item,EnChanged,Throne,Trone,,,,
Trone,vehicles,vehicle,EnChanged,Throne,Trone,,,,
Ball Chair,vehicles,item,EnChanged,Ball Chair,Chaise oeuf,,,,
Ball Chair,vehicles,vehicle,EnChanged,Ball Chair,Chaise oeuf,,,,
Bar Stool,vehicles,item,EnChanged,Bar Stool,Chaise de bar,,,,
Bar Stool,vehicles,vehicle,EnChanged,Bar Stool,Chaise de bar,,,,
Carousel,vehicles,item,EnChanged,Carousel,Tourniquet,,,,
Carousel,vehicles,vehicle,EnChanged,Carousel,Tourniquet,,,,
Swing,vehicles,item,EnChanged,Swing,Balançoire,,,,
Swing,vehicles,vehicle,EnChanged,Swing,Balançoire,,,,
Bench,vehicles,item,EnChanged,Bench,Banc,,,,
Bench,vehicles,vehicle,EnChanged,Bench,Banc,,,,


