Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
xmasGifts,blocks,Block,New,"A Christmas Gift",,,,,
xmasGiftsDesc,blocks,Block,New,"A cute little Christmas present",,,,,
xmasGift,blocks,Block,New,"A Christmas Gift",,,,,
xmasGiftDesc,blocks,Block,New,"A cute little Christmas present",,,,,
ChristmasTreeCB,blocks,Block,New,"A Christmas Tree",,,,,
ChristmasTreeCBDesc,blocks,Block,New,"A lovely little Christmas tree",,,,,
ChristmasTreeNaughty,blocks,Block,New,"A Naughty Christmas Tree",,,,,
ChristmasTreeNaughtyDesc,blocks,Block,New,"A Naughty Christmas tree",,,,,
ChristmasTreeNice,blocks,Block,New,"A Nice Christmas Tree",,,,,
ChristmasTreeNiceDesc,blocks,Block,New,"A Nice Christmas tree",,,,,
iceBlock,blocks,Block,New,"A sturdy ice block",,,,,
iceBlockDesc,blocks,Block,New,"A study ice block that can be used for building.",,,,,
snowBlock,blocks,Block,New,"A sturdy snow block",,,,,
snowBlockDesc,blocks,Block,New,"A study snow block that can be used for building. Maybe we can build an igloo?",,,,,
rabbitBlock,blocks,Block,New,"A Rabbit block",,,,,
rabbitBlockDesc,blocks,Block,New,"A cute little toy rabbit",,,,,
wreath,blocks,Block,New,"A wreath",,,,,
wreathDesc,blocks,Block,New,"A very festive Christmas Wreath",,,,,
wrappingstation,blocks,Block,New,"A Wrapping Station",,,,,
wrappingstationDesc,blocks,Block,New,"A sturdy workbench for wrapping and making presents",,,,,
poinsettia,blocks,Block,New,"A poinsettia",,,,,
poinsettiaDesc,blocks,Block,New,"A traditional holiday plant",,,,,
lightString,blocks,Block,New,"A light string",,,,,
lightStringDesc,blocks,Block,New,"A christmas light string",,,,,
lightStringDiag,blocks,Block,New,"A diagonal light string",,,,,
lightStringDiagDesc,blocks,Block,New,"A christmas diagonal light string",,,,,
xmasCandle,blocks,Block,New,"A christmas candle",,,,,
xmasCandleDesc,blocks,Block,New,"A christmas candle",,,,,
beesWaxCandle,blocks,Block,New,"A bees wax candle",,,,,
beesWaxCandleDesc,blocks,Block,New,"A bees wax candle",,,,,
XmasPoster01,blocks,Block,New,"A christmas poster",,,,,
XmasPoster01Desc,blocks,Block,New,"A christmas poster",,,,,
rabbitItem,items,Tool,KgNone,An rabbit,,,,,
toysDesc,items,Tool,KgNone,"An little rabbit toy",,,,,
candyCane,items,Tool,KgNone,An Candy Cane,,,,,
candyCaneDesc,items,Tool,KgNone,"A tasty treat used to smash the face of the zombies.",,,,,
waxCandle,items,Tool,KgNone,An wax candle,,,,,
waxCandleDesc,items,Tool,KgNone,"A pretty little wax candle.",,,,,
Cookies,items,Tool,KgNone,A cookie,,,,,
CookiesDesc,items,Tool,KgNone,"A small christmas cookie to tide you over until supper",,,,,
snowShovel,items,Tool,KgNone,An sturdy shovel,,,,,
snowShovelDesc,items,Tool,KgNone,"A sturdy snow shovel, for all our winter shovelling needs.",,,,,
